,언론사,뉴스제목,본문내용,카테고리,이미지url,link,핵심키워드
0,경향신문,"미 무역대표부, 구글 조사한 방통위 실무자 면담…“외압 가능성”","조승래 의원 “구글·애플 앱마켓 사실조사 직후 미 관계자 방문 부적절”
미국 무역대표부(USTR)가 지난달 구글·애플 등 앱마켓에 대한 사실조사를 벌이고 있는 방송통신위원회(방통위) 실무자를 면담한 것으로 밝혀졌다.

25일 국회 과학기술정보방송통신위원회 소속 조승래 더불어민주당 의원이 행정안전부 등에서 받은 자료에 따르면 브라이언트 트릭 미 무역대표부 한국담당 부대표보는 지난달 23일 주한 미대사관 관계자 2명과 함께 방통위 이용자정책국을 방문했다.

트릭 부대표보 일행은 방통위 관계자들을 만나 방통위가 지난달 16일 자국 기업인 구글과 애플 등 앱마켓을 대상으로 사실조사에 착수한 것과 관련해 문의한 것으로 전해졌다. 또 국내 통신사들이 미국 넷플릭스 등을 상대로 망 사용료 납부 요구를 한 것에 대해서도 문의한 것으로 알려졌다.

USTR은 미국 무역정책을 수립하고 양자·다자 무역 협상을 수행하는 정부 기관이다. 조 의원은 USTR이나 주한 미국대사관 관계자가 방통위를 방문한 것은 최근 3년 새 처음이라면서 “방통위가 구글, 애플의 앱마켓에 대한 사실조사를 진행한 지 1주일 뒤 USTR 관계자가 찾아온 것은 외압으로 느껴질 수 있다”고 주장했다.

USTR은 지난해 3월 말 의회에 제출한 무역장벽보고서(NTE보고서)에서 한국의 인앱결제강제방지법을 새로운 디지털 무역장벽으로 간주하고 우려를 표했다.

방통위 이용자정책국은 지난 5월17일부터 구글 플레이스토어와 애플 앱스토어, 원스토어 3개 앱마켓 사업자의 개정 전기통신사업법(인앱결제강제금지법) 위반 사항을 파악하기 위한 실태 점검을 실시했다.

이후 이들 세 곳 모두 금지행위 위반 소지가 있다고 판단, 지난달 16일 위반사항 확인을 위한 사실조사에 착수했다.

유튜브, 넷플릭스 등 해외 콘텐츠제공업자(CP)의 망 무임승차 논란은 현재 국회에서 ‘망 사용료 의무화법’(전기통신사업법 개정안) 논의와 함께 법정 다툼으로 이어지고 있다. SK브로드밴드는 2019년 11월 방통위에 넷플릭스와의 망 이용료 협상을 중재해달라며 재정신청을 했다.

넷플릭스는 이를 거부하며 이용료를 낼 의무가 없다는 취지의 소송을 제기했고, 지난해 6월 1심 소송에서 패소했다. 이어 넷플릭스가 항소하면서 현재 2심이 진행 중이다.",IT 일반,No image,https://n.news.naver.com/mnews/article/032/0003175243?sid=105,"조승래 의원 “구글·애플 앱마켓 사실조사 직후 미 관계자 방문 부적절”
미국 무역대표부(USTR)가 지난달 구글·애플 등 앱마켓에 대한 사실조사를 벌이고 있는 방송통신위원회(방통위) 실무자를 면담한 것으로 밝혀졌다.

25일 국회 과학기술정보방송통신위원회 소속 조승래 더불어민주당 의원이 행정안전부 등에서 받은 자료에 따르면 브라이언트 트릭 미 무역대표부 한국담당 부대표보는 지난달 23일 주한 미대사관 관계자 2명과 함께 방통위 이용자정책국을 방문했다.

트릭 부대표보 일행은 방통위 관계자들을 만나 방통위가 지난달 16일 자국 기업인 구글과 애플 등 앱마켓을 대상으로 사실조사에 착수한 것과 관련해 문의한 것으로 전해졌다. 또 국내 통신사들이 미국 넷플릭스 등을 상대로 망 사용료 납부 요구를 한 것에 대해서도 문의한 것으로 알려졌다.

USTR은 미국 무역정책을 수립하고 양자·다자 무역 협상을 수행하는 정부 기관이다. 조 의원은 USTR이나 주한 미국대사관 관계자가 방통위를 방문한 것은 최근 3년 새 처음이라면서 “방통위가 구글, 애플의 앱마켓에 대한 사실조사를 진행한 지 1주일 뒤 USTR 관계자가 찾아온 것은 외압으로 느껴질 수 있다”고 주장했다.

USTR은 지난해 3월 말 의회에 제출한 무역장벽보고서(NTE보고서)에서 한국의 인앱결제강제방지법을 새로운 디지털 무역장벽으로 간주하고 우려를 표했다.

방통위 이용자정책국은 지난 5월17일부터 구글 플레이스토어와 애플 앱스토어, 원스토어 3개 앱마켓 사업자의 개정 전기통신사업법(인앱결제강제금지법) 위반 사항을 파악하기 위한 실태 점검을 실시했다.

이후 이들 세 곳 모두 금지행위 위반 소지가 있다고 판단, 지난달 16일 위반사항 확인을 위한 사실조사에 착수했다.

유튜브, 넷플릭스 등 해외 콘텐츠제공업자(CP)의 망 무임승차 논란은 현재 국회에서 ‘망 사용료 의무화법’(전기통신사업법 개정안) 논의와 함께 법정 다툼으로 이어지고 있다. SK브로드밴드는 2019년 11월 방통위에 넷플릭스와의 망 이용료 협상을 중재해달라며 재정신청을 했다.

넷플릭스는 이를 거부하며 이용료를 낼 의무가 없다는 취지의 소송을 제기했고, 지난해 6월 1심 소송에서 패소했다. 이어 넷플릭스가 항소하면서 현재 2심이 진행 중이다."
1,경향신문,주량 한계 초과 땐 백약이 무효…숙취해소제 찾기보다 음주 속도를 줄여라[알아두면 쓸모 있는 한의과학],"이준혁 한국한의학연구원 한의정책팀장


코로나19 대유행으로 인한 거리 두기가 완화되면서 최근 술자리 모임이 늘어나고 있다. 오랜만에 만나는 반가운 얼굴들과 마주하며, 가벼운 음주를 통해 그동안 못다 한 담소를 나누는 것만큼 즐거운 일도 없다. 하지만 본인의 주량을 조금만 넘게 되면 여지없이 숙취란 불청객이 찾아오기 마련이다. 숙취 없이 술을 즐기고자 하는 것은 사람들 공통의 바람이다. 그래서 숙취 해소제 시장에는 많은 제품이 쏟아져 나오고, 사람들은 각자의 해장 음식에 대한 비법을 지니고 있다.

숙취가 일어나는 원리를 간단히 말하자면 이렇다. 간이 시간당 처리할 수 있는 알코올의 용량을 초과하는 바람에 몸의 해독 기능이 손상되고, 아직 해독되지 못한 알코올과 알코올의 중간 산물인 아세트알데히드가 몸의 곳곳에서 문제를 일으키는 것이다.

숙취 해소가 최근의 개념이라면 해장은 좀 더 오래된 개념이다. 해장이라는 용어의 유래는 조금 복잡하다. 요즘 사람들에게 해장이 무슨 뜻이냐고 묻는다면, 아마 대부분은 속을 풀어준다는 해장(解腸)이라고 답할 듯하다. 하지만 해장은 엄밀하게 보면 술을 깬다는 해정(解醒)에서 유래됐다고 하는 의견이 주류를 이룬다. 예전에는 술로 인해 몸에 쓸데없는 열(熱)과 습(濕)이 쌓여서 독이 된다고 보았다. 그래서 몸에 생기는 손상을 주상(酒傷)이라 하고 이를 치료하는 것을 해정(解醒)이라고 했다. 숙취에 쓰는 유명한 처방인 갈화해정탕(葛花解醒湯)의 경우 그 이름 그대로 칡꽃이 들어간 술 깨는 약이라는 뜻이다.

숙취이든 주상(酒傷)이든 그 원리는 술로 인한 독이다. 그것을 아세트알데히드라고 보든, 인체 장부의 습열이라고 보든 결국은 술로 인해 쌓이게 되는 독소를 몸이 감당하지 못해서 생기는 것이다. 비유하자면 하수종말처리장의 용량 한계치와 비슷하다. 시간당 처리할 수 있는 하수량을 초과하는 바람에 처리장 기능이 마비되고, 하수가 넘쳐서 곳곳을 오염시키는 것이다. 그 결과로 두통, 불쾌감, 구토, 우울감 등 사람마다 다양한 형태의 주관적인 증상이 나타난다.

최근에 출시되고 있는 숙취 해소제와 전통적인 한약 처방들은 이러한 독으로 생기는 증상들을 개선하는 데 초점을 맞추고 있다. 하지만 많은 증상이 주관적이기 때문에 그 효능을 같은 잣대로 과학적인 관점에서 검증하는 데에는 어려움이 있고, 효능에 대한 시비도 여전히 존재한다. 그리고 숙취로 인한 증상이 개선된다고 해서 술로 인해 생긴 몸의 손상이 치료되는 것도 아니다. 결국 손상은 여전히 회복되지 않고 남게 되는 것이다.

따라서 숙취라는 병도 치료보다는 예방이 더 중요하다. 숙취 예방은 결국 술을 해독할 수 있는 능력 내에서 마시도록 노력하는 것이다. 양도 중요하지만, 속도가 중요하다. 굳이 표현하자면 주량(酒量)보다는 주속(酒速)이 중요하다. 사람은 저마다 체격도 다르고, 체질도 달라서, 해독 능력도 다르다. 서로 마시는 속도도 달라야 하는 게 정상이다. 코로나19 시대를 지나면서 음주 문화도 많이 바뀌고 있다. 이제 예전처럼 같이 속도를 맞추어 과음하는 문화는 사라지고 있다. 즐겁게 술 한잔하는 자리에서, 숙취 해소제를 미리 챙겨주는 마음으로, 술 마시는 속도를 배려해주자.",IT 일반,https://imgnews.pstatic.net/image/032/2022/09/25/0003175241_001_20220925214101154.jpg?type=w647,https://n.news.naver.com/mnews/article/032/0003175241?sid=105,"이준혁 한국한의학연구원 한의정책팀장


코로나19 대유행으로 인한 거리 두기가 완화되면서 최근 술자리 모임이 늘어나고 있다. 오랜만에 만나는 반가운 얼굴들과 마주하며, 가벼운 음주를 통해 그동안 못다 한 담소를 나누는 것만큼 즐거운 일도 없다. 하지만 본인의 주량을 조금만 넘게 되면 여지없이 숙취란 불청객이 찾아오기 마련이다. 숙취 없이 술을 즐기고자 하는 것은 사람들 공통의 바람이다. 그래서 숙취 해소제 시장에는 많은 제품이 쏟아져 나오고, 사람들은 각자의 해장 음식에 대한 비법을 지니고 있다.

숙취가 일어나는 원리를 간단히 말하자면 이렇다. 간이 시간당 처리할 수 있는 알코올의 용량을 초과하는 바람에 몸의 해독 기능이 손상되고, 아직 해독되지 못한 알코올과 알코올의 중간 산물인 아세트알데히드가 몸의 곳곳에서 문제를 일으키는 것이다.

숙취 해소가 최근의 개념이라면 해장은 좀 더 오래된 개념이다. 해장이라는 용어의 유래는 조금 복잡하다. 요즘 사람들에게 해장이 무슨 뜻이냐고 묻는다면, 아마 대부분은 속을 풀어준다는 해장(解腸)이라고 답할 듯하다. 하지만 해장은 엄밀하게 보면 술을 깬다는 해정(解醒)에서 유래됐다고 하는 의견이 주류를 이룬다. 예전에는 술로 인해 몸에 쓸데없는 열(熱)과 습(濕)이 쌓여서 독이 된다고 보았다. 그래서 몸에 생기는 손상을 주상(酒傷)이라 하고 이를 치료하는 것을 해정(解醒)이라고 했다. 숙취에 쓰는 유명한 처방인 갈화해정탕(葛花解醒湯)의 경우 그 이름 그대로 칡꽃이 들어간 술 깨는 약이라는 뜻이다.

숙취이든 주상(酒傷)이든 그 원리는 술로 인한 독이다. 그것을 아세트알데히드라고 보든, 인체 장부의 습열이라고 보든 결국은 술로 인해 쌓이게 되는 독소를 몸이 감당하지 못해서 생기는 것이다. 비유하자면 하수종말처리장의 용량 한계치와 비슷하다. 시간당 처리할 수 있는 하수량을 초과하는 바람에 처리장 기능이 마비되고, 하수가 넘쳐서 곳곳을 오염시키는 것이다. 그 결과로 두통, 불쾌감, 구토, 우울감 등 사람마다 다양한 형태의 주관적인 증상이 나타난다.

최근에 출시되고 있는 숙취 해소제와 전통적인 한약 처방들은 이러한 독으로 생기는 증상들을 개선하는 데 초점을 맞추고 있다. 하지만 많은 증상이 주관적이기 때문에 그 효능을 같은 잣대로 과학적인 관점에서 검증하는 데에는 어려움이 있고, 효능에 대한 시비도 여전히 존재한다. 그리고 숙취로 인한 증상이 개선된다고 해서 술로 인해 생긴 몸의 손상이 치료되는 것도 아니다. 결국 손상은 여전히 회복되지 않고 남게 되는 것이다.

따라서 숙취라는 병도 치료보다는 예방이 더 중요하다. 숙취 예방은 결국 술을 해독할 수 있는 능력 내에서 마시도록 노력하는 것이다. 양도 중요하지만, 속도가 중요하다. 굳이 표현하자면 주량(酒量)보다는 주속(酒速)이 중요하다. 사람은 저마다 체격도 다르고, 체질도 달라서, 해독 능력도 다르다. 서로 마시는 속도도 달라야 하는 게 정상이다. 코로나19 시대를 지나면서 음주 문화도 많이 바뀌고 있다. 이제 예전처럼 같이 속도를 맞추어 과음하는 문화는 사라지고 있다. 즐겁게 술 한잔하는 자리에서, 숙취 해소제를 미리 챙겨주는 마음으로, 술 마시는 속도를 배려해주자."
2,KBS,와인 속 타닌산으로 생체친화 접착제 개발,"와인 속 타닌산으로 생체친화 접착제 개발
KBS뉴스
|
재생 수
0
00:00 | 01:41
자막
자막
화질 선택 옵션
자동



[KBS 대전] [앵커]

와인이나 과일 껍질에 들어있는 타닌 성분을 활용한 접착제가 개발됐습니다.

목공용 풀보다 접착력은 강하지만 독성이 낮고 체내에서 분해도 돼 모발 이식 등 의료용 접착제로 활용될 전망입니다.

이연경 기자입니다.

[리포트]

와인에서 떫은맛이 나는 건 와인 속 '타닌산' 때문입니다.

타닌산이 혀에 붙기 때문인데 접착력이 강해 다른 물질과 빠르게 결합하는 특성이 있습니다.

카이스트가 이 타닌산을 활용해 생체친화적 접착제를 개발했습니다.

의료용 녹는 실에 쓰이는 고분자 물질과 타닌산, 물을 섞어 온도를 올렸다 내리는 과정을 반복해 접착제를 만들었습니다.

이 접착제는 목공용 풀보다 접착력이 강해 3kg이 넘는 무게를 견딜 정도지만 독성이 낮고 체내에서 분해도 됩니다.

[박종민/카이스트 화학과 박사/한국화학연구원 소속 : ""모든 분자가 생체에 적합하기 때문에 생체에 적용이 되더라도 저희가 염증 반응을 최소화 하면서 이용할 수 있다는 게 가장 큰 장점이 되지 않을까 싶습니다.""]

연구진은 이 접착제를 모근 없이 잘라낸 모발 끝에 발라 마취 상태의 쥐와 돼지 등 동물 피부에 심는 실험을 통해 의료용 접착제로서 활용 가능성을 확인했습니다.

[이해신/카이스트 화학과 교수 : ""모발 이식이 된다고 하는 것은 상당히 난이도가 어려운 것입니다. 그래서 이 정도의 생분해성과 접합성을 사용하면 간이라든지, 췌장이라든지 이런 연조직에 해당하는 접합은 굉장히 쉽게 이루어지고...""]

연구진은 임상 시험을 거친 뒤 5년 이내에 상용화가 가능할 것으로 전망했습니다.

KBS 뉴스 이연경입니다.

촬영기자:강욱현",IT 일반,No image,https://n.news.naver.com/mnews/article/056/0011344816?sid=105,"와인 속 타닌산으로 생체친화 접착제 개발
KBS뉴스
|
재생 수
0
00:00 | 01:41
자막
자막
화질 선택 옵션
자동



[KBS 대전] [앵커]

와인이나 과일 껍질에 들어있는 타닌 성분을 활용한 접착제가 개발됐습니다.

목공용 풀보다 접착력은 강하지만 독성이 낮고 체내에서 분해도 돼 모발 이식 등 의료용 접착제로 활용될 전망입니다.

이연경 기자입니다.

[리포트]

와인에서 떫은맛이 나는 건 와인 속 '타닌산' 때문입니다.

타닌산이 혀에 붙기 때문인데 접착력이 강해 다른 물질과 빠르게 결합하는 특성이 있습니다.

카이스트가 이 타닌산을 활용해 생체친화적 접착제를 개발했습니다.

의료용 녹는 실에 쓰이는 고분자 물질과 타닌산, 물을 섞어 온도를 올렸다 내리는 과정을 반복해 접착제를 만들었습니다.

이 접착제는 목공용 풀보다 접착력이 강해 3kg이 넘는 무게를 견딜 정도지만 독성이 낮고 체내에서 분해도 됩니다.

[박종민/카이스트 화학과 박사/한국화학연구원 소속 : ""모든 분자가 생체에 적합하기 때문에 생체에 적용이 되더라도 저희가 염증 반응을 최소화 하면서 이용할 수 있다는 게 가장 큰 장점이 되지 않을까 싶습니다.""]

연구진은 이 접착제를 모근 없이 잘라낸 모발 끝에 발라 마취 상태의 쥐와 돼지 등 동물 피부에 심는 실험을 통해 의료용 접착제로서 활용 가능성을 확인했습니다.

[이해신/카이스트 화학과 교수 : ""모발 이식이 된다고 하는 것은 상당히 난이도가 어려운 것입니다. 그래서 이 정도의 생분해성과 접합성을 사용하면 간이라든지, 췌장이라든지 이런 연조직에 해당하는 접합은 굉장히 쉽게 이루어지고...""]

연구진은 임상 시험을 거친 뒤 5년 이내에 상용화가 가능할 것으로 전망했습니다.

KBS 뉴스 이연경입니다.

촬영기자:강욱현"
3,디지털데일리,"이종호 과기정통부 장관, ITU 전권회의 참석","이종호 장관과 홀린 짜오 ITU 사무총장
[디지털데일리 백지영기자] 과학기술정보통신부(과기정통부) 25일(현지시각) 루마니아 수도 부쿠레슈티에서 열리는 ITU 전권회의에 참석했다고 밝혔다.

ITU는 국제 주파수, 위성궤도, 기술표준, 개도국 지원 등을 수행하는 UN 산하의 ICT 전문 국제기구다. 193개 회원국이 가입해 있다. 전권회의는 4년마다 개최하는 ITU의 최고 회의체로 2014년에는 부산에서 개최된 바 있다.

이종호 과기정통부 장관은 개최국인 루마니아가 ‘모두를 위한 더 나은 디지털 미래‘를 주제로 하는 부쿠레슈티 장관선언문 채택을 위해 이날 오전 열린 장관 원탁회의에 초청돼 장관선언문에 대한 한국 정부의 지지 입장을 밝혔다. 이와 함께 한국의 디지털 포용 정책과 국제사회 디지털 격차 해소를 위한 기여 사항을 소개했다.

또한, 이번 전권회의에서는 ITU 고위직과 이사국 등을 선출하는 선거가 함께 치러진다. 이 선거에서 한국은 ITU 차고위직인 사무차장직 및 이사국 9선 연임에 도전한다. 선거는 오는 29일 고위직 선거를 시작으로 10월 3일 이사국 등의 선거가 치러진다.

이종호 장관은 장관 원탁회의를 전후로 슬로베니아, 루마니아, 호주, 말레이시아, 이집트 등 5개 국가와의 양자면담을 비롯해 행사중 틈틈이 주요인사들을 일일이 찾아 ITU 선거 및 부산세계박람회(엑스포) 유치를 위한 선거활동을 진행했다.

이어 26일엔 수석대표회의와 개회식에 참석할 예정이다. 수석대표회의에서는 운영위원회 및 분과위원회 등 8개 위원회의 의장을 선임하며, 정책부문을 담당하는 제5위원회에 한국의 전선민 부연구위원(정보통신정책연구원)이 선임될 예정으로 ITU 내 한국 위상을 높일 수 있을 것으로 기대된다.

이 장관은 ""한국은 ICT 선진국으로서 이미 국제사회에서의 인지도가 높고, 정책 공유 및 기여에 대한 수요가 높아져가고 있다""며 ""코로나 이후 세계적 디지털 전환과 변혁의 흐름 속에서 디지털 혁신 기회 창출 및 디지털 격차 해소를 위해 국제사회 책임 있는 일원으로서의 역할을 다하겠다""고 밝혔다.",IT 일반,https://imgnews.pstatic.net/image/138/2022/09/25/0002133276_001_20220925211301437.jpg?type=w647,https://n.news.naver.com/mnews/article/138/0002133276?sid=105,"이종호 장관과 홀린 짜오 ITU 사무총장
[디지털데일리 백지영기자] 과학기술정보통신부(과기정통부) 25일(현지시각) 루마니아 수도 부쿠레슈티에서 열리는 ITU 전권회의에 참석했다고 밝혔다.

ITU는 국제 주파수, 위성궤도, 기술표준, 개도국 지원 등을 수행하는 UN 산하의 ICT 전문 국제기구다. 193개 회원국이 가입해 있다. 전권회의는 4년마다 개최하는 ITU의 최고 회의체로 2014년에는 부산에서 개최된 바 있다.

이종호 과기정통부 장관은 개최국인 루마니아가 ‘모두를 위한 더 나은 디지털 미래‘를 주제로 하는 부쿠레슈티 장관선언문 채택을 위해 이날 오전 열린 장관 원탁회의에 초청돼 장관선언문에 대한 한국 정부의 지지 입장을 밝혔다. 이와 함께 한국의 디지털 포용 정책과 국제사회 디지털 격차 해소를 위한 기여 사항을 소개했다.

또한, 이번 전권회의에서는 ITU 고위직과 이사국 등을 선출하는 선거가 함께 치러진다. 이 선거에서 한국은 ITU 차고위직인 사무차장직 및 이사국 9선 연임에 도전한다. 선거는 오는 29일 고위직 선거를 시작으로 10월 3일 이사국 등의 선거가 치러진다.

이종호 장관은 장관 원탁회의를 전후로 슬로베니아, 루마니아, 호주, 말레이시아, 이집트 등 5개 국가와의 양자면담을 비롯해 행사중 틈틈이 주요인사들을 일일이 찾아 ITU 선거 및 부산세계박람회(엑스포) 유치를 위한 선거활동을 진행했다.

이어 26일엔 수석대표회의와 개회식에 참석할 예정이다. 수석대표회의에서는 운영위원회 및 분과위원회 등 8개 위원회의 의장을 선임하며, 정책부문을 담당하는 제5위원회에 한국의 전선민 부연구위원(정보통신정책연구원)이 선임될 예정으로 ITU 내 한국 위상을 높일 수 있을 것으로 기대된다.

이 장관은 ""한국은 ICT 선진국으로서 이미 국제사회에서의 인지도가 높고, 정책 공유 및 기여에 대한 수요가 높아져가고 있다""며 ""코로나 이후 세계적 디지털 전환과 변혁의 흐름 속에서 디지털 혁신 기회 창출 및 디지털 격차 해소를 위해 국제사회 책임 있는 일원으로서의 역할을 다하겠다""고 밝혔다."
4,디지털데일리,"SKT-사피온, 캐나다 토론토 대학과 AI 공동 연구","[디지털데일리 백지영기자] SK텔레콤과 사피온은 캐나다 토론토 대학에 인공지능(AI) 반도체 기반 데이터 센터인 ‘NPU 팜(Farm)’을 제공하고, AI 공동 연구에 나설 것이라고 25일 밝혔다.

SKT, 사피온, 토론토 대학은 22일(현지시간) MOU 체결을 통해 토론토 대학에 AI 반도체 사피온 X220 및 X330으로 구성된 NPU 팜을 무상 제공하고 이를 활용해 AI 기술 개발을 위한 공동 연구를 추진키로 합의했다. 

이번 MOU는 대한민국과 캐나다 양국 간 AI 발전을 위한 R&D 협력의 일환으로 맺어졌다고 SKT는 설명했다.

NPU(신경망처리장치)는 AI 딥러닝 알고리즘에 최적화된 프로세서로, NPU 팜은 빅데이터를 사람의 신경망처럼 빠르고 효율적으로 처리할 수 있는 NPU 기반 데이터센터다.

SKT와 사피온이 토론토 대학에 제공하는 NPU 팜은 약 32페타 OPS(초당 연산 처리량)로 소형 AI 데이터센터에 맞먹는 규모다. 양사는 토론토 대학 연구원들이 NPU 팜을 효과적으로 활용할 수 있는 전용 클라우드 플랫폼(PaaS)도 함께 제공한다.

SKT와 사피온은 구축되는 NPU 팜을 기반으로 인공지능 분야 세계 선두 연구기관인 토론토 대학과 다양한 AI 공동 연구를 추진할 계획이다. 공동 연구에는 사피온 AI 반도체 기반의 인공 신경망 자동 생성 및 최적화 기술 개발 등이 포함된다. 

이러한 연구 성과를 바탕으로 AI 기업들은 인공 신경망 모델을 자동으로 생성하거나, 기존 모델을 사피온 반도체에서 최적화해 동작시키는 것이 가능할 것으로 기대된다.

지난 2020년 상용화된 사피온 X220은 최근 반도체 성능 테스트 대회인 ‘엠엘퍼프(MLPerf)’에서 타제품과 비교해 2.3배~4.6배의 높은 성능(데이터센터용 성능 측정)을 평가받은 바 있으며, 전력 소모 당  성능 측면에서도 타제품에 비해 2배 이상 높은 전력 효율성을 보였다는 설명이다.",IT 일반,https://imgnews.pstatic.net/image/138/2022/09/25/0002133275_001_20220925210701365.jpg?type=w647,https://n.news.naver.com/mnews/article/138/0002133275?sid=105,"[디지털데일리 백지영기자] SK텔레콤과 사피온은 캐나다 토론토 대학에 인공지능(AI) 반도체 기반 데이터 센터인 ‘NPU 팜(Farm)’을 제공하고, AI 공동 연구에 나설 것이라고 25일 밝혔다.

SKT, 사피온, 토론토 대학은 22일(현지시간) MOU 체결을 통해 토론토 대학에 AI 반도체 사피온 X220 및 X330으로 구성된 NPU 팜을 무상 제공하고 이를 활용해 AI 기술 개발을 위한 공동 연구를 추진키로 합의했다. 

이번 MOU는 대한민국과 캐나다 양국 간 AI 발전을 위한 R&D 협력의 일환으로 맺어졌다고 SKT는 설명했다.

NPU(신경망처리장치)는 AI 딥러닝 알고리즘에 최적화된 프로세서로, NPU 팜은 빅데이터를 사람의 신경망처럼 빠르고 효율적으로 처리할 수 있는 NPU 기반 데이터센터다.

SKT와 사피온이 토론토 대학에 제공하는 NPU 팜은 약 32페타 OPS(초당 연산 처리량)로 소형 AI 데이터센터에 맞먹는 규모다. 양사는 토론토 대학 연구원들이 NPU 팜을 효과적으로 활용할 수 있는 전용 클라우드 플랫폼(PaaS)도 함께 제공한다.

SKT와 사피온은 구축되는 NPU 팜을 기반으로 인공지능 분야 세계 선두 연구기관인 토론토 대학과 다양한 AI 공동 연구를 추진할 계획이다. 공동 연구에는 사피온 AI 반도체 기반의 인공 신경망 자동 생성 및 최적화 기술 개발 등이 포함된다. 

이러한 연구 성과를 바탕으로 AI 기업들은 인공 신경망 모델을 자동으로 생성하거나, 기존 모델을 사피온 반도체에서 최적화해 동작시키는 것이 가능할 것으로 기대된다.

지난 2020년 상용화된 사피온 X220은 최근 반도체 성능 테스트 대회인 ‘엠엘퍼프(MLPerf)’에서 타제품과 비교해 2.3배~4.6배의 높은 성능(데이터센터용 성능 측정)을 평가받은 바 있으며, 전력 소모 당  성능 측면에서도 타제품에 비해 2배 이상 높은 전력 효율성을 보였다는 설명이다."
