제목,주소
"[교육소식] 광주여대, '관광아이디어 해커톤 대회' 3개팀 입상 등",http://www.newsis.com/view/?id=NISX20220213_0001756917&cID=10809&pID=10800
"광주여자대학교, 관광아이디어 해커톤 대회 3개팀 수상 영광",https://www.wikitree.co.kr/articles/731938
