제목,주소
"솔라나, 구글·삼성이 후원하는 해커톤 개최…상금 60억원",https://www.hankyung.com/it/article/202202076211g
"한신대, 제2회 한신ABC캠프 해커톤 실시",http://news.unn.net/news/articleView.html?idxno=523666
